SEGMENT,+,-
-NC-,1,2
A,2,3
B,2,4
C,3,4
D,3,1
E,4,3
F,2,1
G,4,1
H,3,2
I,4,2
J,4,5
K,5,2
L,5,4
M,5,1
N,2,5
O,3,5
P,5,3
Q,1,3
R,1,5
S,1,4
